sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,446.74,338.01,224,11944.35,18.75,53.32,4.0,3.328,58.209,45.134,129.912,5.437
2,217,620.62,349.65,305,17166.74,17.77,56.28,4.0,3.234,55.851,47.532,132.463,5.635
3,159,515.29,308.56,119,6860.98,17.34,57.66,4.0,3.189,54.73,48.162,132.184,5.796
4,179,472.88,378.53,182,9753.18,18.66,53.59,4.0,3.291,57.273,44.564,129.018,5.504
5,212,613.18,345.74,218,11355.08,19.2,52.09,4.0,3.444,61.111,46.079,130.766,5.418
6,225,611.17,368.15,235,14626.06,16.07,62.24,4.0,2.925,48.125,47.5,132.358,5.582
7,220,605.52,363.32,189,11933.9,15.84,63.14,4.0,2.806,45.149,45.015,129.956,5.405
8,160,477.53,335.05,199,11359.22,17.52,57.08,4.0,3.143,53.571,46.778,130.125,5.619
9,152,451.45,336.69,220,12247.82,17.96,55.67,4.0,3.221,55.515,46.559,130.406,5.549
10,205,651.78,314.52,601,36852.45,16.31,61.32,4.0,3.315,57.873,61.436,140.231,6.941
AVERAGE,188.0,546.616,343.822,249.2,14409.978000000003,17.542,57.239,4.0,3.1896000000000004,54.740700000000004,47.875899999999994,131.74190000000002,5.6886
