sample,prefill_tokens,prefill_latency_ms,prefill_tps,decode_tokens,decode_latency_ms,decode_tps
01,151,1204.88,125.32,217,19553.95,11.1
02,217,1881.19,115.35,293,26669.06,10.99
03,159,1502.42,105.83,108,9469.17,11.41
04,179,1685.84,106.18,183,16302.41,11.23
05,212,1982.4,106.94,153,13713.08,11.16
06,225,2051.06,109.7,199,17804.8,11.18
07,220,2104.26,104.55,139,12383.55,11.22
08,160,1509.66,105.98,239,21376.62,11.18
09,152,1367.3,111.17,167,14734.16,11.33
10,205,1900.03,107.89,200,18101.35,11.05
11,236,2137.34,110.42,242,22009.16,11.0
12,150,1501.87,99.88,100,8710.4,11.48
13,176,1845.93,95.34,280,26089.39,10.73
14,157,2027.2,77.45,123,10885.98,11.3
15,186,2070.63,89.83,243,22188.4,10.95
16,149,1672.35,89.1,115,10090.3,11.4
17,152,1487.39,102.19,174,15300.31,11.37
18,142,1412.64,100.52,83,7163.1,11.59
19,152,1824.93,83.29,118,10299.9,11.46
20,186,2272.83,81.84,110,9690.39,11.35
AVERAGE,178.3,1772.1074999999996,101.43849999999999,174.3,15626.774000000001,11.224
