sample,prefill_tokens,prefill_latency_ms,prefill_tps,decode_tokens,decode_latency_ms,decode_tps
01,151,511.28,295.34,362,28506.15,12.7
02,217,718.35,302.08,296,23501.83,12.59
03,159,518.82,306.46,354,28321.86,12.5
04,179,639.58,279.87,334,26844.08,12.44
05,212,752.74,281.64,301,24381.76,12.35
06,225,844.43,266.45,288,23341.25,12.34
07,220,767.59,286.61,293,25032.29,11.7
08,160,558.63,286.41,353,29038.34,12.16
09,152,543.98,279.42,361,30182.71,11.96
10,205,756.52,270.98,26,2135.42,12.18
11,236,880.69,267.97,15,1252.23,11.98
12,150,554.58,270.47,363,30299.56,11.98
13,176,664.83,264.73,337,28248.04,11.93
14,157,551.13,284.87,356,30580.85,11.64
15,186,676.0,275.15,327,27615.85,11.84
16,149,548.31,271.74,364,31523.7,11.55
17,152,557.62,272.59,361,30571.62,11.81
18,142,544.12,260.97,371,32277.76,11.49
19,152,565.42,268.83,361,30822.81,11.71
20,186,683.16,272.26,327,27870.05,11.73
AVERAGE,178.3,641.889,278.242,307.5,25617.408,12.029
