sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,622.54,242.55,198,11958.33,16.56,60.4,4.0,3.177,54.435,76.871,112.683,10.584
2,217,849.1,255.56,146,8850.47,16.5,60.62,4.0,3.152,53.804,76.196,112.213,10.337
3,159,620.32,256.32,171,9047.74,18.9,52.91,4.0,3.617,65.426,76.426,112.25,10.347
4,179,732.87,244.24,150,9478.53,15.83,63.19,4.0,3.041,51.02,76.061,113.58,10.301
5,212,868.53,244.09,135,7084.61,19.06,52.48,4.0,3.722,68.056,78.306,113.73,10.316
6,225,1044.3,215.46,359,25472.67,14.09,70.95,4.0,3.346,58.645,113.178,122.306,15.178
7,220,894.0,246.09,163,10091.8,16.15,61.91,4.0,3.115,52.885,77.365,113.17,10.531
8,160,626.32,255.46,134,8752.36,15.31,65.32,4.0,2.956,48.889,77.756,112.587,10.507
9,152,627.08,242.4,297,19530.86,15.21,65.76,4.0,3.364,59.091,97.636,121.461,12.795
10,205,1029.15,199.19,200,18024.7,11.1,90.12,4.0,3.159,53.968,150.905,131.641,20.759
11,236,1004.47,234.95,136,9136.09,14.89,67.18,4.0,3.068,51.705,83.773,119.489,10.801
12,150,672.19,223.15,245,14227.61,17.22,58.07,4.0,3.536,63.406,83.406,119.714,10.811
13,176,889.04,197.97,374,33203.71,11.26,88.78,4.0,3.33,58.259,158.598,135.23,21.167
14,157,622.79,252.09,207,14412.13,14.36,69.62,4.0,3.219,55.469,101.828,119.985,14.242
15,186,763.16,243.72,150,10972.94,13.67,73.15,4.0,2.98,49.5,99.46,115.824,13.815
16,149,627.77,237.35,131,6384.44,20.52,48.74,4.0,3.939,73.485,79.909,108.529,11.192
17,152,629.21,241.57,211,16744.92,12.6,79.36,4.0,2.958,48.944,110.254,122.347,14.852
18,142,632.8,224.4,113,5570.79,20.28,49.3,4.0,4.0,75.0,83.25,110.0,11.576
19,152,629.81,241.34,161,9118.9,17.66,56.64,4.0,3.478,61.957,83.565,110.894,11.577
20,186,765.59,242.95,130,7812.72,16.64,60.1,4.0,3.225,55.625,79.75,111.195,11.175
AVERAGE,178.3,757.5519999999999,237.04249999999996,190.55,12793.816000000003,15.8905,64.72999999999999,4.0,3.3190999999999997,57.97845000000001,93.22465,116.9414,12.643150000000002
