sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,1450.11,104.13,217,16607.29,13.07,76.53,3.0,2.7,56.667,65.188,139.309,0.0
2,217,1971.88,110.05,330,26901.08,12.27,81.52,3.0,2.812,60.399,75.795,151.661,0.0
3,159,1507.18,105.49,94,7197.72,13.06,76.57,3.0,2.657,55.238,66.886,133.194,0.0
5,212,2001.22,105.94,145,11500.03,12.61,79.31,3.0,2.88,62.667,73.62,151.745,0.0
6,225,2349.08,95.78,188,19428.11,9.68,103.34,3.0,2.527,50.901,68.959,189.547,0.0
8,160,1635.77,97.81,188,16284.62,11.54,86.62,3.0,2.562,52.055,70.123,149.595,0.0
9,152,1609.12,94.46,144,10524.27,13.68,73.09,3.0,2.804,60.131,64.863,137.442,0.0
10,205,2184.82,93.83,232,21331.07,10.88,91.94,3.0,2.457,48.582,67.585,156.4,0.0
11,236,2547.66,92.63,233,24130.49,9.66,103.56,3.0,2.392,46.392,76.309,169.449,0.0
12,150,1629.14,92.07,99,6786.08,14.59,68.55,3.0,3.161,72.043,68.452,143.875,0.0
13,176,1891.65,93.04,238,20634.35,11.53,86.7,3.0,2.756,58.527,74.384,162.356,0.0
14,157,1665.6,94.26,132,10123.54,13.04,76.69,3.0,2.848,61.594,67.13,148.106,0.0
16,149,1618.33,92.07,106,8907.98,11.9,84.04,3.0,2.561,52.033,66.195,146.0,0.0
17,152,1614.79,94.13,149,13332.85,11.18,89.48,3.0,2.508,50.282,67.254,154.667,0.0
18,142,1521.33,93.34,89,6584.75,13.52,73.99,3.0,2.839,61.29,62.871,143.219,0.0
19,152,1722.93,88.22,118,9903.01,11.92,83.92,3.0,2.721,57.364,70.535,154.682,0.0
20,186,2107.53,88.26,124,10668.34,11.62,86.03,3.0,2.617,53.901,64.979,157.271,0.0
AVERAGE,175.35294117647058,1825.184705882353,96.20647058823529,166.23529411764707,14167.38705882353,12.102941176470589,83.64,3.0,2.694235294117647,56.474470588235306,68.88988235294119,152.26576470588236,0.0
