sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,1448.38,104.25,218,37004.85,5.89,169.75,4.0,3.391,59.766,143.062,426.646,21.294
2,217,1984.43,109.35,331,55304.78,5.99,167.08,4.0,3.587,64.674,142.022,452.806,17.232
3,159,1665.91,95.44,116,17247.34,6.73,148.68,4.0,3.594,64.844,134.781,390.182,16.595
4,179,1735.83,103.12,181,30707.4,5.89,169.65,4.0,3.333,58.333,133.722,425.509,16.549
5,212,2080.82,101.88,163,24085.23,6.77,147.76,4.0,3.951,73.78,129.488,445.429,17.46
6,225,2114.01,106.43,190,34946.63,5.44,183.93,4.0,3.203,55.085,143.966,439.45,17.492
7,220,2321.44,94.77,161,28913.44,5.57,179.59,4.0,3.333,58.333,142.333,448.939,17.83
8,160,1609.52,99.41,161,29984.74,5.37,186.24,4.0,3.137,53.431,142.118,435.673,18.192
9,152,1489.56,102.04,145,23304.12,6.22,160.72,4.0,3.512,62.805,135.707,420.643,17.664
10,205,2159.42,94.93,281,50173.24,5.6,178.55,4.0,3.457,61.42,148.593,463.598,18.219
11,236,2420.13,97.52,230,48263.83,4.77,209.84,4.0,2.974,49.351,142.26,476.885,18.412
12,150,1569.69,95.56,99,15305.22,6.47,154.6,4.0,3.379,59.483,113.862,398.2,16.302
13,176,1715.58,102.59,240,41613.21,5.77,173.39,4.0,3.515,62.868,147.559,456.232,18.349
14,157,1593.2,98.54,140,23589.61,5.93,168.5,4.0,3.39,59.756,141.561,421.667,17.839
15,186,1837.71,101.21,229,40806.63,5.61,178.19,4.0,3.403,60.075,143.209,457.529,18.182
16,149,1601.84,93.02,102,17107.23,5.96,167.72,4.0,3.258,56.452,136.968,399.906,18.08
17,152,1552.75,97.89,147,29252.25,5.03,198.99,4.0,2.92,48.0,141.48,433.294,17.712
18,142,1549.06,91.67,80,11775.73,6.79,147.2,4.0,3.435,60.87,129.391,364.458,16.92
19,152,1655.98,91.79,117,18857.29,6.2,161.17,4.0,3.314,57.857,123.686,401.778,16.664
20,186,1989.66,93.48,125,22222.17,5.63,177.78,4.0,3.179,54.487,130.667,426.575,17.134
AVERAGE,178.3,1804.7460000000003,98.74449999999999,172.8,30023.247000000003,5.8815,171.46649999999997,4.0,3.36325,59.083499999999994,137.32175,429.26995000000005,17.706049999999998
