sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,460.52,327.89,208,15767.47,13.19,75.81,,3.569,64.224,125.931,141.966,11.132
2,217,621.78,349.0,381,35608.61,10.7,93.46,,3.619,65.476,177.933,158.236,11.954
3,159,461.76,344.33,95,5867.5,16.19,61.76,,4.273,81.818,123.091,135.522,10.866
4,179,473.6,377.96,173,13281.48,13.03,76.77,,3.909,72.727,148.386,148.267,11.451
5,212,614.03,345.26,210,16044.61,13.09,76.4,,4.019,75.481,156.327,147.528,11.676
6,225,609.79,368.98,317,30812.1,10.29,97.2,,3.435,60.87,176.511,155.097,11.909
7,220,609.28,361.08,216,24244.38,8.91,112.24,,2.905,47.635,169.77,154.04,11.822
8,160,458.07,349.29,196,15304.78,12.81,78.09,,3.679,66.981,141.019,143.204,11.332
9,152,453.39,335.25,219,17934.38,12.21,81.89,,3.759,68.966,155.276,149.288,11.494
10,205,609.71,336.22,484,47009.97,10.3,97.13,,3.687,67.176,194.084,162.121,12.093
11,236,621.81,379.54,250,27708.33,9.02,110.83,,3.074,51.852,179.79,158.622,11.893
12,150,457.13,328.13,94,6364.07,14.77,67.7,,4.043,76.087,130.565,138.125,10.919
13,176,467.91,376.14,286,29133.81,9.82,101.87,,3.276,56.897,173.874,157.67,11.796
14,157,505.21,310.76,130,10675.18,12.18,82.12,,3.794,69.853,158.088,149.571,11.498
15,186,480.13,387.4,166,13156.27,12.62,79.25,,3.587,64.674,140.413,140.723,11.426
16,149,464.68,320.65,141,10437.18,13.51,74.02,,3.684,67.105,130.368,138.667,11.098
17,152,463.95,327.62,231,24203.76,9.54,104.78,,2.987,49.675,159.727,151.179,11.663
18,142,470.52,301.79,94,9384.52,10.02,99.84,,2.735,43.382,129.647,140.4,11.002
19,152,474.62,320.26,132,9842.27,13.41,74.56,,3.743,68.571,134.371,141.111,11.177
20,186,472.43,393.71,145,10812.83,13.41,74.57,,4.0,75.0,147.972,145.892,11.439
AVERAGE,178.3,512.5160000000001,347.063,208.4,18679.675000000003,11.951,86.01449999999998,,3.58885,64.7225,152.65715000000003,147.86145,11.482
