sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,610.81,247.21,198,11244.77,17.61,56.79,4.0,3.177,54.435,70.113,108.238,9.559
2,217,835.5,259.72,146,8286.75,17.62,56.76,4.0,3.152,53.804,69.978,106.426,9.453
3,159,604.12,263.19,171,8445.85,20.25,49.39,4.0,3.617,65.426,69.447,106.521,9.396
4,179,720.16,248.56,150,8915.77,16.82,59.44,4.0,3.041,51.02,70.898,107.5,9.431
5,212,836.33,253.49,135,6500.96,20.77,48.16,4.0,3.722,68.056,69.694,106.405,9.431
6,225,939.69,239.44,359,20275.76,17.71,56.48,4.0,3.346,58.645,73.981,113.241,9.862
7,220,853.0,257.91,163,9768.65,16.69,59.93,4.0,3.115,52.885,72.962,111.283,9.724
8,160,608.82,262.8,134,8376.43,16.0,62.51,4.0,2.956,48.889,72.044,110.239,9.466
9,152,604.95,251.26,297,16779.71,17.7,56.5,4.0,3.364,59.091,74.261,113.843,9.685
10,205,836.12,245.18,200,11850.34,16.88,59.25,4.0,3.159,53.968,72.825,112.203,9.61
11,236,979.41,240.96,136,7960.44,17.08,58.53,4.0,3.068,51.705,70.523,106.556,9.46
12,150,606.08,247.49,245,12703.56,19.29,51.85,4.0,3.536,63.406,72.145,109.057,9.493
13,176,714.36,246.37,374,21127.06,17.7,56.49,4.0,3.33,58.259,74.732,111.69,9.6
14,157,604.42,259.75,207,12034.18,17.2,58.14,4.0,3.219,55.469,73.453,111.523,9.468
15,186,719.3,258.58,150,9095.76,16.49,60.64,4.0,2.98,49.5,70.46,107.922,9.43
16,149,602.97,247.11,131,5945.35,22.03,45.38,4.0,3.939,73.485,69.303,106.0,9.578
17,152,615.61,246.91,211,13192.31,15.99,62.52,4.0,2.958,48.944,72.563,110.306,9.483
18,142,603.72,235.21,113,5071.38,22.28,44.88,4.0,4.0,75.0,69.679,106.034,9.532
19,152,601.22,252.82,161,8364.27,19.25,51.95,4.0,3.478,61.957,70.913,107.234,9.393
20,186,716.44,259.62,130,7258.91,17.91,55.84,4.0,3.225,55.625,70.65,106.585,9.604
AVERAGE,178.3,710.6515,251.179,190.55,10659.9105,18.1635,55.5715,4.0,3.3191,57.978449999999995,71.5312,108.94030000000001,9.5329
