sample_id,prefill_tokens,prefill_ms,prefill_tps,decode_tokens,decode_ms,decode_tps,decode_lat_ms,draft_len,accept_len,accept_ratio,avg_draft_lat_ms,avg_verify_lat_ms,avg_td_ms
1,151,458.73,329.17,208,18668.11,11.14,89.75,,3.569,64.224,165.897,151.763,11.681
2,217,614.13,353.35,381,38491.57,9.9,101.03,,3.619,65.476,199.752,163.755,12.186
3,159,469.08,338.96,95,5889.63,16.13,62.0,,4.273,81.818,124.636,135.217,10.934
4,179,472.81,378.59,173,13232.01,13.07,76.49,,3.909,72.727,150.409,145.289,11.481
5,212,611.54,346.67,210,16830.52,12.48,80.15,,4.019,75.481,165.481,153.075,11.659
6,225,615.13,365.77,317,33410.31,9.49,105.4,,3.435,60.87,198.348,161.376,12.131
7,220,620.31,354.66,216,25448.35,8.49,117.82,,2.905,47.635,182.824,157.04,11.948
8,160,465.85,343.46,196,16938.54,11.57,86.42,,3.679,66.981,164.245,150.759,11.611
9,152,453.14,335.44,219,18978.94,11.54,86.66,,3.759,68.966,167.879,154.644,11.633
10,205,604.64,339.04,484,51913.15,9.32,107.26,,3.687,67.176,225.282,168.159,12.483
11,236,615.62,383.35,250,29156.78,8.57,116.63,,3.074,51.852,193.84,161.902,12.033
12,150,446.7,335.79,94,5977.85,15.72,63.59,,4.043,76.087,121.304,131.083,10.792
13,176,471.92,372.94,286,30129.41,9.49,105.35,,3.276,56.897,183.149,159.705,11.831
14,157,459.67,341.55,130,9613.12,13.52,73.95,,3.794,69.853,136.735,140.171,11.158
15,186,468.73,396.82,166,13830.19,12.0,83.31,,3.587,64.674,149.587,145.638,11.506
16,149,443.8,335.74,141,10666.79,13.22,75.65,,3.684,67.105,134.658,139.949,11.116
17,152,462.17,328.88,231,24950.76,9.26,108.01,,2.987,49.675,166.364,153.808,11.712
18,142,445.86,318.48,94,10221.25,9.2,108.74,,2.735,43.382,145.588,148.4,11.136
19,152,451.72,336.49,132,10269.22,12.85,77.8,,3.743,68.571,144.229,143.333,11.252
20,186,470.6,395.24,145,10651.3,13.61,73.46,,4.0,75.0,144.75,144.676,11.454
AVERAGE,178.3,506.10749999999996,351.5195,208.4,19763.39,11.5285,89.9735,,3.58885,64.7225,163.24785,150.4871,11.58685
