step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,183107,183107,1,183107
1,2,191938,95969,3,375045
2,2,189078,94539,5,564123
3,5,191342,38268,10,755465
4,6,191605,31934,16,947070
5,3,192005,64001,19,1139075
6,5,190946,38189,24,1330021
7,2,189655,94827,26,1519676
8,3,223182,74394,29,1742858
9,1,234176,234176,30,1977034
10,3,232249,77416,33,2209283
11,5,251740,50348,38,2461023
12,1,245084,245084,39,2706107
13,3,236418,78806,42,2942525
14,2,241477,120738,44,3184002
15,6,271857,45309,50,3455859
16,6,273232,45538,56,3729091
17,5,259049,51809,61,3988140
18,4,256696,64174,65,4244836
19,3,250976,83658,68,4495812
20,5,258462,51692,73,4754274
21,2,254327,127163,75,5008601
22,5,273797,54759,80,5282398
23,3,262964,87654,83,5545362
24,2,262833,131416,85,5808195
25,2,258836,129418,87,6067031
26,4,267004,66751,91,6334035
27,4,278482,69620,95,6612517
28,2,246691,123345,97,6859208
29,2,270218,135109,99,7129426
30,2,261634,130817,101,7391060
31,6,227485,37914,107,7618545
32,3,253676,84558,110,7872221
33,3,256629,85543,113,8128850
34,6,264675,44112,119,8393525
35,3,261412,87137,122,8654937
36,3,226654,75551,125,8881591
37,6,265049,44174,131,9146640
38,5,267315,53463,136,9413955
39,4,271737,67934,140,9685692
40,1,252584,252584,141,9938276
41,3,262947,87649,144,10201223
42,5,265593,53118,149,10466816
43,6,271448,45241,155,10738264
44,5,255571,51114,160,10993835
45,3,257313,85771,163,11251148
46,5,276386,55277,168,11527534
47,5,265795,53159,173,11793329
48,2,255561,127780,175,12048890
49,1,261523,261523,176,12310413
50,2,259402,129701,178,12569815
51,3,263900,87966,181,12833715
52,3,259254,86418,184,13092969
53,3,264345,88115,187,13357314
54,4,278278,69569,191,13635592
55,2,255831,127915,193,13891423
56,4,270349,67587,197,14161772
