step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,185748,185748,1,185748
1,1,194716,194716,2,380464
2,2,188815,94407,4,569279
3,6,191632,31938,10,760911
4,2,191251,95625,12,952162
5,5,193274,38654,17,1145436
6,2,224276,112138,19,1369712
7,3,226578,75526,22,1596290
8,1,238022,238022,23,1834312
9,2,238748,119374,25,2073060
10,6,253569,42261,31,2326629
11,1,205916,205916,32,2532545
12,3,231295,77098,35,2763840
13,2,238467,119233,37,3002307
14,2,241110,120555,39,3243417
15,6,253450,42241,45,3496867
16,1,237136,237136,46,3734003
17,3,264585,88195,49,3998588
18,3,255488,85162,52,4254076
19,2,263175,131587,54,4517251
20,2,249748,124874,56,4766999
21,2,254164,127082,58,5021163
22,1,256113,256113,59,5277276
23,1,255392,255392,60,5532668
24,1,254654,254654,61,5787322
25,2,256678,128339,63,6044000
26,2,253441,126720,65,6297441
27,6,268108,44684,71,6565549
28,3,275514,91838,74,6841063
29,3,262692,87564,77,7103755
30,4,257676,64419,81,7361431
31,2,259586,129793,83,7621017
32,2,262906,131453,85,7883923
33,6,256225,42704,91,8140148
34,3,257659,85886,94,8397807
35,4,269375,67343,98,8667182
36,3,255903,85301,101,8923085
37,4,272489,68122,105,9195574
38,2,264072,132036,107,9459646
39,2,261334,130667,109,9720980
40,4,260072,65018,113,9981052
41,3,256838,85612,116,10237890
42,3,263625,87875,119,10501515
43,5,274895,54979,124,10776410
44,5,260911,52182,129,11037321
45,6,267827,44637,135,11305148
46,4,258734,64683,139,11563882
47,3,255425,85141,142,11819307
48,4,272515,68128,146,12091822
49,1,259639,259639,147,12351461
50,5,252775,50555,152,12604236
51,2,266820,133410,154,12871056
52,3,270565,90188,157,13141621
53,3,273621,91207,160,13415242
54,6,265515,44252,166,13680757
55,1,253978,253978,167,13934735
56,2,265636,132818,169,14200371
57,4,271594,67898,173,14471965
58,3,271710,90570,176,14743675
59,2,266289,133144,178,15009964
60,1,248874,248874,179,15258838
61,2,262530,131265,181,15521368
62,2,261356,130678,183,15782724
63,3,262106,87368,186,16044830
64,5,272755,54551,191,16317585
65,2,263511,131755,193,16581096
66,4,274127,68531,197,16855223
67,2,266872,133436,199,17122095
68,1,252117,252117,200,17374212
