step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,206004,206004,1,206004
1,1,206030,206030,2,412034
2,1,206610,206610,3,618644
3,1,204919,204919,4,823563
4,2,249154,124577,6,1072717
5,3,272350,90783,9,1345067
6,4,261957,65489,13,1607024
7,3,240914,80304,16,1847938
8,5,253018,50603,21,2100956
9,1,255404,255404,22,2356360
10,1,252382,252382,23,2608742
11,4,272320,68080,27,2881062
12,4,274588,68647,31,3155650
13,2,253877,126938,33,3409527
14,2,259791,129895,35,3669318
15,5,253754,50750,40,3923072
16,1,254822,254822,41,4177894
