step_idx,n_tokens,step_total_us,tbt_per_token_us,cum_tokens,cum_us
0,1,186714,186714,1,186714
1,3,189161,63053,4,375875
2,2,191861,95930,6,567736
3,2,190665,95332,8,758401
4,1,186004,186004,9,944405
5,1,187734,187734,10,1132139
6,1,186595,186595,11,1318734
7,2,188928,94464,13,1507662
8,3,192193,64064,16,1699855
9,2,190674,95337,18,1890529
10,2,194419,97209,20,2084948
11,6,210069,35011,26,2295017
12,2,208891,104445,28,2503908
13,1,210033,210033,29,2713941
14,1,208945,208945,30,2922886
15,1,237869,237869,31,3160755
16,2,255237,127618,33,3415992
17,3,245033,81677,36,3661025
18,2,250111,125055,38,3911136
19,2,256674,128337,40,4167810
20,1,269029,269029,41,4436839
21,1,260942,260942,42,4697781
22,1,252608,252608,43,4950389
23,3,258580,86193,46,5208969
24,1,264856,264856,47,5473825
25,3,258791,86263,50,5732616
26,2,261439,130719,52,5994055
27,5,250534,50106,57,6244589
28,4,279187,69796,61,6523776
29,3,261443,87147,64,6785219
30,1,236554,236554,65,7021773
31,4,261917,65479,69,7283690
32,3,264507,88169,72,7548197
33,5,270265,54053,77,7818462
34,5,265294,53058,82,8083756
35,5,272269,54453,87,8356025
36,2,263606,131803,89,8619631
37,3,253810,84603,92,8873441
38,4,253329,63332,96,9126770
39,3,257150,85716,99,9383920
40,3,260264,86754,102,9644184
41,3,256783,85594,105,9900967
