n_predict,decode_s,tps,n_drafted,n_accept,accept_pct,avg_len,mean_tbt_ms,std_tbt_ms,min_tbt_ms,max_tbt_ms,config,prompt
130,16.394,7.93,264,63,23.864,1.955,159.105,71.135,51.538,261.007,baseline,01
204,23.805,8.569,364,112,30.769,2.231,149.791,72.932,51.911,281.166,baseline,02
38,2.824,13.457,52,24,46.154,2.846,105.436,55.047,34.993,235.311,baseline,03
202,21.496,9.397,336,117,34.821,2.393,143.362,73.951,43.049,266.443,baseline,04
17,1.77,9.603,28,9,32.143,2.286,150.872,72.04,64.029,255.561,baseline,05
189,19.436,9.724,300,113,37.667,2.507,140.398,77.722,42.312,271.21,baseline,06
68,5.993,11.347,92,44,47.826,2.913,118.966,70.583,43.666,259.713,baseline,07
205,22.869,8.964,348,117,33.621,2.345,151.005,84.858,35.79,528.289,baseline,08
202,20.776,9.723,328,119,36.28,2.451,148.586,80.213,35.685,274.53,baseline,09
88,10.308,8.537,164,46,28.049,2.122,160.543,71.013,35.772,263.862,baseline,10
202,16.591,12.175,264,135,51.136,3.045,111.411,65.508,36.261,275.785,baseline,11
16,2.21,7.241,40,5,12.5,1.5,177.333,54.819,80.133,243.155,baseline,12
43,4.212,10.209,68,25,36.765,2.471,139.765,75.171,50.604,255.404,baseline,13
75,7.601,9.867,124,43,34.677,2.387,133.429,65.883,41.991,269.95,baseline,14
43,5.198,8.272,88,20,22.727,1.909,167.679,78.073,43.164,270.16,baseline,15
54,5.511,9.798,92,30,32.609,2.304,129.804,58.998,51.134,252.889,baseline,16
11,1.377,7.988,28,3,10.714,1.429,162.837,50.793,93.755,228.87,baseline,17
91,9.216,9.874,164,49,29.878,2.195,132.517,66.604,43.96,259.239,baseline,18
27,2.301,11.733,44,15,34.091,2.364,123.721,55.231,39.717,187.837,baseline,19
174,17.875,9.734,276,104,37.681,2.507,144.739,80.274,43.556,259.553,baseline,20
130,16.446,7.905,264,63,23.864,1.955,159.479,71.183,51.26,264.693,k1,01
204,24.081,8.471,364,112,30.769,2.231,151.378,73.49,54.356,280.705,k1,02
38,2.845,13.358,52,24,46.154,2.846,106.635,58.421,35.029,251.06,k1,03
202,23.131,8.733,336,117,34.821,2.393,143.272,63.425,43.489,272.661,k1,04
17,1.73,9.825,28,9,32.143,2.286,146.054,68.025,62.669,258.865,k1,05
189,19.184,9.852,300,113,37.667,2.507,138.137,76.612,42.624,272.69,k1,06
68,5.878,11.568,92,44,47.826,2.913,116.032,66.756,43.896,257.37,k1,07
205,22.084,9.283,348,117,33.621,2.345,148.325,75.624,41.179,267.25,k1,08
202,20.619,9.797,328,119,36.28,2.451,147.38,79.19,35.212,264.576,k1,09
88,10.394,8.466,164,46,28.049,2.122,162.168,72.975,43.119,263.297,k1,10
202,17.572,11.495,264,135,51.136,3.045,117.73,67.907,41.447,282.451,k1,11
16,2.01,7.96,40,5,12.5,1.5,161.214,52.519,76.894,234.664,k1,12
43,4.215,10.201,68,25,36.765,2.471,140.977,77.511,48.168,270.382,k1,13
75,7.594,9.877,124,43,34.677,2.387,132.698,63.751,45.748,255.82,k1,14
43,4.725,9.101,88,20,22.727,1.909,151.968,70.795,42.156,239.891,k1,15
54,5.426,9.953,92,30,32.609,2.304,128.67,61.839,50.095,261.324,k1,16
11,1.32,8.333,28,3,10.714,1.429,155.834,43.438,94.228,188.755,k1,17
91,9.905,9.187,164,49,29.878,2.195,142.239,69.403,40.153,264.331,k1,18
27,2.396,11.268,44,15,34.091,2.364,129.472,58.339,43.405,215.972,k1,19
174,17.262,10.08,276,104,37.681,2.507,139.131,77.031,42.509,272.542,k1,20
183,15.996,11.441,252,119,47.222,2.889,112.451,62.162,43.513,267.947,k2,01
206,16.548,12.449,264,139,52.652,3.106,128.571,84.827,36.008,286.857,k2,02
84,9.551,8.795,156,44,28.205,2.128,141.519,66.884,47.899,271.962,k2,03
201,22.615,8.888,352,112,31.818,2.273,145.68,74.991,45.888,273.078,k2,04
77,6.248,12.323,104,50,48.077,2.923,104.768,65.035,41.862,257.067,k2,05
146,15.428,9.463,244,84,34.426,2.377,136.83,71.052,44.146,261.604,k2,06
68,7.152,9.508,112,39,34.821,2.393,137.035,70.46,64.716,258.646,k2,07
125,10.762,11.615,172,81,47.093,2.884,116.37,69.445,34.553,276.124,k2,08
21,1.202,17.472,24,14,58.333,3.333,78.673,54.618,42.243,186.262,k2,09
40,3.071,13.023,48,27,56.25,3.25,116.847,72.284,42.282,259.367,k2,10
127,15.537,8.174,240,66,27.5,2.1,153.28,69.63,51.346,266.842,k2,11
16,2.123,7.537,40,5,12.5,1.5,170.258,53.461,82.489,231.601,k2,12
31,2.915,10.633,48,18,37.5,2.5,122.209,68.379,42.345,261.643,k2,13
116,9.105,12.74,148,78,52.703,3.108,101.055,53.325,37.729,254.921,k2,14
159,13.912,11.429,228,101,44.298,2.772,113.358,61.342,43.018,263.482,k2,15
48,3.221,14.903,56,33,58.929,3.357,92.07,70.804,37.674,258.295,k2,16
67,6.019,11.131,100,41,41.0,2.64,128.302,81.502,52.261,268.522,k2,17
186,18.142,10.253,300,110,36.667,2.467,136.025,74.773,35.601,264.14,k2,18
27,2.437,11.08,44,15,34.091,2.364,131.318,58.852,45.415,217.661,k2,19
30,3.191,9.401,52,16,30.769,2.231,140.867,70.504,64.212,268.322,k2,20
125,10.763,11.614,172,81,47.093,2.884,112.839,62.304,42.504,262.597,k3,01
121,11.364,10.647,180,75,41.667,2.667,122.744,65.633,42.705,256.933,k3,02
45,3.028,14.863,52,31,59.615,3.385,73.868,23.983,38.021,128.81,k3,03
95,8.314,11.426,136,60,44.118,2.765,116.637,62.499,44.479,254.841,k3,04
109,9.029,12.072,144,72,50.0,3.0,104.533,60.086,43.55,257.038,k3,05
158,15.52,10.181,240,97,40.417,2.617,121.163,61.438,44.774,261.835,k3,06
4,0.447,8.953,8,1,12.5,1.5,211.373,0.0,211.373,211.373,k3,07
201,15.346,13.098,244,139,56.967,3.279,106.894,69.995,35.068,258.094,k3,08
21,1.268,16.559,24,14,58.333,3.333,81.838,53.573,47.463,186.527,k3,09
40,2.913,13.73,48,27,56.25,3.25,107.321,63.867,43.691,257.966,k3,10
79,9.244,8.546,144,42,29.167,2.167,165.439,80.198,40.803,267.386,k3,11
30,2.583,11.615,48,17,35.417,2.417,121.438,58.41,61.954,218.092,k3,12
93,9.221,10.086,148,55,37.162,2.486,127.489,61.037,42.505,264.223,k3,13
99,6.718,14.737,120,68,56.667,3.267,93.869,55.0,35.186,255.992,k3,14
202,20.561,9.824,320,121,37.812,2.513,135.134,72.652,42.138,267.697,k3,15
50,3.77,13.261,64,33,51.562,3.062,100.069,69.912,37.877,269.135,k3,16
45,3.83,11.749,64,28,43.75,2.75,113.726,74.475,44.361,261.178,k3,17
76,7.613,9.983,128,43,33.594,2.344,123.371,55.114,60.524,253.515,k3,18
202,15.733,12.839,252,138,54.762,3.19,104.782,61.453,40.167,270.614,k3,19
99,8.073,12.263,128,66,51.562,3.062,103.438,57.433,41.558,256.731,k3,20
13,0.969,13.418,20,7,35.0,2.4,99.415,55.446,47.764,190.81,k5,01
12,1.216,9.865,20,6,30.0,2.2,126.376,49.555,84.906,206.814,k5,02
83,5.429,15.288,92,59,64.13,3.565,74.347,27.712,37.29,129.595,k5,03
32,2.501,12.793,40,21,52.5,3.1,91.059,24.574,50.634,130.982,k5,04
119,8.279,14.373,128,86,67.188,3.688,92.019,61.616,40.83,261.963,k5,05
147,11.957,12.294,196,97,49.49,2.98,96.724,46.762,42.027,262.9,k5,06
4,0.445,8.998,8,1,12.5,1.5,208.99,0.0,208.99,208.99,k5,07
149,11.441,13.024,180,103,57.222,3.289,101.217,61.851,43.067,267.121,k5,08
52,3.858,13.479,68,34,50.0,3.0,96.413,66.273,41.661,260.291,k5,09
40,3.005,13.313,48,27,56.25,3.25,110.197,61.962,42.864,251.735,k5,10
170,12.853,13.227,224,113,50.446,3.018,102.22,57.911,34.114,264.017,k5,11
204,17.397,11.726,276,134,48.551,2.942,108.874,62.415,38.242,272.341,k5,12
202,15.581,12.964,244,140,57.377,3.295,108.749,70.579,42.067,257.28,k5,13
83,7.233,11.476,116,53,45.69,2.828,110.402,58.486,42.309,262.101,k5,14
89,7.261,12.257,116,59,50.862,3.034,97.101,49.908,41.922,253.236,k5,15
50,3.676,13.603,64,33,51.562,3.062,97.283,66.917,37.882,259.46,k5,16
47,3.44,13.663,60,31,51.667,3.067,88.199,53.895,42.872,267.275,k5,17
108,9.934,10.872,168,65,38.69,2.548,123.706,68.332,35.011,269.029,k5,18
68,6.67,10.195,120,37,30.833,2.233,117.223,51.689,53.204,255.939,k5,19
62,4.689,13.223,76,42,55.263,3.211,97.252,60.274,46.382,252.645,k5,20
