op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.096000,128000x1x1,1024x1x1,4096x125x1x1
Qcur-0,kernel_transpose_32_16,0.072960,4096x32x0,16x1x0,4096x125x1x1
Qcur-0,kernel_mul_mat_Ab_Bi_8x4,2.301952,16x1024x4,1x32x4,4096x125x1x1
Qcur-0,kernel_rope_norm_f32,0.070912,2048x125x1,64x1x1,128x32x125x1
Vcur-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-0,kernel_mul_mat_Ab_Bi_8x4,0.637184,16x256x4,1x32x4,1024x125x1x1
Kcur-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-0,kernel_mul_mat_Ab_Bi_8x4,0.642816,16x256x4,1x32x4,1024x125x1x1
Kcur-0,kernel_rope_norm_f32,0.011776,512x125x1,64x1x1,128x8x125x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.019200,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l0 (reshaped) (view),kernel_set_rows_f16_i64,0.244992,2000x64x1,1x64x1,1x4194304x1x1
node_24,kernel_mul_mat_f16_f32_l4,0.208896,16384x1x32,64x1x1,256x4x32x1
snapkv_kq_obs-0,kernel_soft_max_4,0.005888,256x32x1,64x1x1,256x4x32x1
snapkv_kq_obs-0 (permuted) (cont),kernel_cpy_f32_f32,0.072192,1024x32x1,4x1x1,4x256x32x1
snapkv_importance-0,kernel_sum_rows_f32,0.004096,256x32x1,64x1x1,1x256x32x1
snapkv_importance-0 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.018944,1024x8x1,4x1x1,4x256x8x1
snapkv_imp_kv-0,kernel_sum_rows_f32,0.003072,256x8x1,64x1x1,1x256x8x1
node_36,kernel_argsort_f32_i32,0.018944,256x8x1,256x1x1,256x8x1x1
snapkv_V_sel-0,kernel_get_rows_f32,0.003072,512x8x1,64x1x1,128x8x8x1
snapkv_V_sel_t-0,kernel_cpy_f32_f32,0.009984,1024x8x1,8x1x1,8x128x8x1
snapkv_K_sel-0,kernel_get_rows_f16,0.003072,512x8x1,64x1x1,128x8x8x1
node_42,kernel_mul_mat_f32_f32,0.226816,512x32x32,64x1x1,8x125x32x1
snapkv_kq_soft_max-0,kernel_soft_max_4,0.055040,8000x32x1,64x1x1,8x125x32x1
snapkv_kqv-0,kernel_mul_mat_f32_f32,3.293952,8192x32x32,64x1x1,128x125x32x1
kqv_out-0,kernel_cpy_f32_f32,0.049920,2048x125x1,64x1x1,4096x125x1x1
cache_k_l0 (view) (permuted) (view),kernel_set_rows_f16_i64,0.004096,1024x8x1,128x1x1,128x256x8x1
snapkv_V_sel-0 (permuted) (cont),kernel_cpy_f32_f32,0.003072,512x8x1,64x1x1,128x8x8x1
cache_v_l0 (view) (view) (view),kernel_set_rows_f16_i64,0.019968,128x64x1,1x64x1,1x4194304x1x1
attn_out-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-0,kernel_mul_mat_Ab_Bi_8x4,2.252032,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-0,kernel_add,0.089856,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-0,kernel_rms_norm_mul,0.057088,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-0,kernel_mul_mat_Ab_Bi_8x4,7.875840,16x3584x4,1x32x4,14336x125x1x1
ffn_up-0,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,14336x125x1x1
ffn_up-0,kernel_mul_mat_Ab_Bi_8x4,7.895808,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-0,kernel_swiglu,0.354048,64000x1x1,512x1x1,14336x125x1x1
ffn_out-0,kernel_transpose_32_16,0.249088,14336x32x0,16x1x0,4096x125x1x1
ffn_out-0,kernel_mul_mat_Ab_Bi_8x4,7.965952,16x1024x4,1x32x4,4096x125x1x1
l_out-0,kernel_add,0.096000,8000x1x1,64x1x1,4096x125x1x1
attn_norm-1,kernel_rms_norm_mul,0.055808,128000x1x1,1024x1x1,4096x125x1x1
Qcur-1,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,4096x125x1x1
Qcur-1,kernel_mul_mat_Ab_Bi_8x4,2.228992,16x1024x4,1x32x4,4096x125x1x1
Qcur-1,kernel_rope_norm_f32,0.061184,2048x125x1,64x1x1,128x32x125x1
Vcur-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-1,kernel_mul_mat_Ab_Bi_8x4,0.638976,16x256x4,1x32x4,1024x125x1x1
Kcur-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-1,kernel_mul_mat_Ab_Bi_8x4,0.620032,16x256x4,1x32x4,1024x125x1x1
Kcur-1,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l1 (view),kernel_set_rows_f16_i64,0.017920,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l1 (reshaped) (view),kernel_set_rows_f16_i64,0.254976,2000x64x1,1x64x1,1x4194304x1x1
node_89,kernel_mul_mat_f16_f32_l4,0.209152,16384x1x32,64x1x1,256x4x32x1
snapkv_kq_obs-1,kernel_soft_max_4,0.005888,256x32x1,64x1x1,256x4x32x1
snapkv_kq_obs-1 (permuted) (cont),kernel_cpy_f32_f32,0.071936,1024x32x1,4x1x1,4x256x32x1
snapkv_importance-1,kernel_sum_rows_f32,0.004096,256x32x1,64x1x1,1x256x32x1
snapkv_importance-1 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.018944,1024x8x1,4x1x1,4x256x8x1
snapkv_imp_kv-1,kernel_sum_rows_f32,0.003072,256x8x1,64x1x1,1x256x8x1
node_101,kernel_argsort_f32_i32,0.018944,256x8x1,256x1x1,256x8x1x1
snapkv_V_sel-1,kernel_get_rows_f32,0.003072,512x8x1,64x1x1,128x8x8x1
snapkv_V_sel_t-1,kernel_cpy_f32_f32,0.009984,1024x8x1,8x1x1,8x128x8x1
snapkv_K_sel-1,kernel_get_rows_f16,0.002048,512x8x1,64x1x1,128x8x8x1
node_107,kernel_mul_mat_f32_f32,0.227072,512x32x32,64x1x1,8x125x32x1
snapkv_kq_soft_max-1,kernel_soft_max_4,0.055040,8000x32x1,64x1x1,8x125x32x1
snapkv_kqv-1,kernel_mul_mat_f32_f32,3.293952,8192x32x32,64x1x1,128x125x32x1
kqv_out-1,kernel_cpy_f32_f32,0.038912,2048x125x1,64x1x1,4096x125x1x1
cache_k_l1 (view) (permuted) (view),kernel_set_rows_f16_i64,0.004096,1024x8x1,128x1x1,128x256x8x1
snapkv_V_sel-1 (permuted) (cont),kernel_cpy_f32_f32,0.003840,512x8x1,64x1x1,128x8x8x1
cache_v_l1 (view) (view) (view),kernel_set_rows_f16_i64,0.019968,128x64x1,1x64x1,1x4194304x1x1
attn_out-1,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,4096x125x1x1
attn_out-1,kernel_mul_mat_Ab_Bi_8x4,2.224896,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-1,kernel_add,0.092928,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-1,kernel_rms_norm_mul,0.056064,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-1,kernel_mul_mat_Ab_Bi_8x4,10.072064,16x3584x4,1x32x4,14336x125x1x1
ffn_up-1,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,14336x125x1x1
ffn_up-1,kernel_mul_mat_Ab_Bi_8x4,7.873792,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-1,kernel_swiglu,0.387072,64000x1x1,512x1x1,14336x125x1x1
ffn_out-1,kernel_transpose_32_16,0.248064,14336x32x0,16x1x0,4096x125x1x1
ffn_out-1,kernel_mul_mat_Ab_Bi_8x4,7.969792,16x1024x4,1x32x4,4096x125x1x1
