op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.008960,2048x1x1,1024x1x1,4096x2x1x1
Qcur-0,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,4096x2x1x1
Qcur-0,kernel_mul_mat_Ab_Bi_8x4,0.299008,1x1024x32,1x4x32,4096x2x1x1
Qcur-0,kernel_rope_norm_f32,0.003072,2048x2x1,64x1x1,128x32x2x1
Vcur-0,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,1024x2x1x1
Vcur-0,kernel_mul_mat_Ab_Bi_8x4,0.073984,1x256x32,1x4x32,1024x2x1x1
Kcur-0,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,1024x2x1x1
Kcur-0,kernel_mul_mat_Ab_Bi_8x4,0.073984,1x256x32,1x4x32,1024x2x1x1
Kcur-0,kernel_rope_norm_f32,0.003072,512x2x1,64x1x1,128x8x2x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.003072,2048x1x1,1024x1x1,1024x4096x1x1
cache_v_l0 (reshaped) (view),kernel_set_rows_f16_i64,0.011008,32x64x1,1x64x1,1x4194304x1x1
kq-0,kernel_mul_mat_f16_f32_l4,0.121856,16384x1x32,64x1x1,256x2x32x1
kq_soft_max-0,kernel_soft_max_4,0.005120,128x32x1,64x1x1,256x2x32x1
kqv-0,kernel_mul_mat_f16_f32_l4,0.064000,8192x1x32,64x1x1,128x2x32x1
kqv_out-0,kernel_cpy_f32_f32,0.002816,2048x2x1,64x1x1,4096x2x1x1
attn_out-0,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,4096x2x1x1
attn_out-0,kernel_mul_mat_Ab_Bi_8x4,0.263936,1x1024x32,1x4x32,4096x2x1x1
ffn_inp-0,kernel_add,0.024064,128x1x1,64x1x1,4096x2x1x1
ffn_norm-0,kernel_rms_norm_mul,0.005888,2048x1x1,1024x1x1,4096x2x1x1
ffn_gate-0,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,14336x2x1x1
ffn_gate-0,kernel_mul_mat_Ab_Bi_8x4,0.815872,1x3584x32,1x4x32,14336x2x1x1
ffn_up-0,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,14336x2x1x1
ffn_up-0,kernel_mul_mat_Ab_Bi_8x4,0.816128,1x3584x32,1x4x32,14336x2x1x1
ffn_swiglu-0,kernel_swiglu,0.012032,1024x1x1,512x1x1,14336x2x1x1
ffn_out-0,kernel_transpose_32_16,0.017152,14336x2x0,16x1x0,4096x2x1x1
ffn_out-0,kernel_mul_mat_Ab_Bi_8x4,1.069824,1x1024x32,1x4x32,4096x2x1x1
l_out-0,kernel_add,0.025088,128x1x1,64x1x1,4096x2x1x1
attn_norm-1,kernel_rms_norm_mul,0.005888,2048x1x1,1024x1x1,4096x2x1x1
Qcur-1,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,4096x2x1x1
Qcur-1,kernel_mul_mat_Ab_Bi_8x4,0.252928,1x1024x32,1x4x32,4096x2x1x1
Qcur-1,kernel_rope_norm_f32,0.003072,2048x2x1,64x1x1,128x32x2x1
Vcur-1,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,1024x2x1x1
Vcur-1,kernel_mul_mat_Ab_Bi_8x4,0.075008,1x256x32,1x4x32,1024x2x1x1
Kcur-1,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,1024x2x1x1
Kcur-1,kernel_mul_mat_Ab_Bi_8x4,0.072960,1x256x32,1x4x32,1024x2x1x1
Kcur-1,kernel_rope_norm_f32,0.002048,512x2x1,64x1x1,128x8x2x1
cache_k_l1 (view),kernel_set_rows_f16_i64,0.002816,2048x1x1,1024x1x1,1024x4096x1x1
cache_v_l1 (reshaped) (view),kernel_set_rows_f16_i64,0.009984,32x64x1,1x64x1,1x4194304x1x1
kq-1,kernel_mul_mat_f16_f32_l4,0.122112,16384x1x32,64x1x1,256x2x32x1
kq_soft_max-1,kernel_soft_max_4,0.004864,128x32x1,64x1x1,256x2x32x1
kqv-1,kernel_mul_mat_f16_f32_l4,0.064000,8192x1x32,64x1x1,128x2x32x1
kqv_out-1,kernel_cpy_f32_f32,0.003072,2048x2x1,64x1x1,4096x2x1x1
attn_out-1,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,4096x2x1x1
attn_out-1,kernel_mul_mat_Ab_Bi_8x4,0.248064,1x1024x32,1x4x32,4096x2x1x1
ffn_inp-1,kernel_add,0.024832,128x1x1,64x1x1,4096x2x1x1
ffn_norm-1,kernel_rms_norm_mul,0.006144,2048x1x1,1024x1x1,4096x2x1x1
ffn_gate-1,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,14336x2x1x1
ffn_gate-1,kernel_mul_mat_Ab_Bi_8x4,0.809984,1x3584x32,1x4x32,14336x2x1x1
ffn_up-1,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,14336x2x1x1
ffn_up-1,kernel_mul_mat_Ab_Bi_8x4,0.909056,1x3584x32,1x4x32,14336x2x1x1
ffn_swiglu-1,kernel_swiglu,0.012800,1024x1x1,512x1x1,14336x2x1x1
ffn_out-1,kernel_transpose_32_16,0.017152,14336x2x0,16x1x0,4096x2x1x1
ffn_out-1,kernel_mul_mat_Ab_Bi_8x4,1.220864,1x1024x32,1x4x32,4096x2x1x1
l_out-1,kernel_add,0.025088,128x1x1,64x1x1,4096x2x1x1
attn_norm-2,kernel_rms_norm_mul,0.005888,2048x1x1,1024x1x1,4096x2x1x1
Qcur-2,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,4096x2x1x1
Qcur-2,kernel_mul_mat_Ab_Bi_8x4,0.264192,1x1024x32,1x4x32,4096x2x1x1
Qcur-2,kernel_rope_norm_f32,0.003072,2048x2x1,64x1x1,128x32x2x1
Vcur-2,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,1024x2x1x1
Vcur-2,kernel_mul_mat_Ab_Bi_8x4,0.075008,1x256x32,1x4x32,1024x2x1x1
Kcur-2,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,1024x2x1x1
Kcur-2,kernel_mul_mat_Ab_Bi_8x4,0.069888,1x256x32,1x4x32,1024x2x1x1
Kcur-2,kernel_rope_norm_f32,0.002048,512x2x1,64x1x1,128x8x2x1
cache_k_l2 (view),kernel_set_rows_f16_i64,0.003072,2048x1x1,1024x1x1,1024x4096x1x1
cache_v_l2 (reshaped) (view),kernel_set_rows_f16_i64,0.009984,32x64x1,1x64x1,1x4194304x1x1
kq-2,kernel_mul_mat_f16_f32_l4,0.122112,16384x1x32,64x1x1,256x2x32x1
kq_soft_max-2,kernel_soft_max_4,0.004864,128x32x1,64x1x1,256x2x32x1
kqv-2,kernel_mul_mat_f16_f32_l4,0.062976,8192x1x32,64x1x1,128x2x32x1
kqv_out-2,kernel_cpy_f32_f32,0.003072,2048x2x1,64x1x1,4096x2x1x1
attn_out-2,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,4096x2x1x1
attn_out-2,kernel_mul_mat_Ab_Bi_8x4,0.244992,1x1024x32,1x4x32,4096x2x1x1
ffn_inp-2,kernel_add,0.024064,128x1x1,64x1x1,4096x2x1x1
ffn_norm-2,kernel_rms_norm_mul,0.006144,2048x1x1,1024x1x1,4096x2x1x1
ffn_gate-2,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,14336x2x1x1
ffn_gate-2,kernel_mul_mat_Ab_Bi_8x4,0.786176,1x3584x32,1x4x32,14336x2x1x1
ffn_up-2,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,14336x2x1x1
ffn_up-2,kernel_mul_mat_Ab_Bi_8x4,0.780032,1x3584x32,1x4x32,14336x2x1x1
ffn_swiglu-2,kernel_swiglu,0.012800,1024x1x1,512x1x1,14336x2x1x1
ffn_out-2,kernel_transpose_32_16,0.017152,14336x2x0,16x1x0,4096x2x1x1
ffn_out-2,kernel_mul_mat_Ab_Bi_8x4,0.996864,1x1024x32,1x4x32,4096x2x1x1
l_out-2,kernel_add,0.025088,128x1x1,64x1x1,4096x2x1x1
attn_norm-3,kernel_rms_norm_mul,0.005888,2048x1x1,1024x1x1,4096x2x1x1
Qcur-3,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,4096x2x1x1
Qcur-3,kernel_mul_mat_Ab_Bi_8x4,0.241152,1x1024x32,1x4x32,4096x2x1x1
Qcur-3,kernel_rope_norm_f32,0.003840,2048x2x1,64x1x1,128x32x2x1
Vcur-3,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,1024x2x1x1
Vcur-3,kernel_mul_mat_Ab_Bi_8x4,0.072960,1x256x32,1x4x32,1024x2x1x1
Kcur-3,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,1024x2x1x1
Kcur-3,kernel_mul_mat_Ab_Bi_8x4,0.075008,1x256x32,1x4x32,1024x2x1x1
Kcur-3,kernel_rope_norm_f32,0.001792,512x2x1,64x1x1,128x8x2x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.003072,2048x1x1,1024x1x1,1024x4096x1x1
cache_v_l3 (reshaped) (view),kernel_set_rows_f16_i64,0.009984,32x64x1,1x64x1,1x4194304x1x1
kq-3,kernel_mul_mat_f16_f32_l4,0.122112,16384x1x32,64x1x1,256x2x32x1
kq_soft_max-3,kernel_soft_max_4,0.004864,128x32x1,64x1x1,256x2x32x1
kqv-3,kernel_mul_mat_f16_f32_l4,0.064000,8192x1x32,64x1x1,128x2x32x1
kqv_out-3,kernel_cpy_f32_f32,0.003072,2048x2x1,64x1x1,4096x2x1x1
attn_out-3,kernel_transpose_32_16,0.006144,4096x2x0,16x1x0,4096x2x1x1
attn_out-3,kernel_mul_mat_Ab_Bi_8x4,0.250112,1x1024x32,1x4x32,4096x2x1x1
ffn_inp-3,kernel_add,0.025088,128x1x1,64x1x1,4096x2x1x1
ffn_norm-3,kernel_rms_norm_mul,0.005888,2048x1x1,1024x1x1,4096x2x1x1
ffn_gate-3,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,14336x2x1x1
ffn_gate-3,kernel_mul_mat_Ab_Bi_8x4,0.977152,1x3584x32,1x4x32,14336x2x1x1
ffn_up-3,kernel_transpose_32_16,0.005888,4096x2x0,16x1x0,14336x2x1x1
ffn_up-3,kernel_mul_mat_Ab_Bi_8x4,0.849920,1x3584x32,1x4x32,14336x2x1x1
ffn_swiglu-3,kernel_swiglu,0.012032,1024x1x1,512x1x1,14336x2x1x1
ffn_out-3,kernel_transpose_32_16,0.016896,14336x2x0,16x1x0,4096x2x1x1
ffn_out-3,kernel_mul_mat_Ab_Bi_8x4,1.166080,1x1024x32,1x4x32,4096x2x1x1
l_out-3,kernel_add,0.024832,128x1x1,64x1x1,4096x2x1x1
attn_norm-4,kernel_rms_norm_mul,0.006144,2048x1x1,1024x1x1,4096x2x1x1
