op name, kernel name, exec duration (ms), global size, local size, output size
attn_norm-0,kernel_rms_norm_mul,0.123904,128000x1x1,1024x1x1,4096x125x1x1
Qcur-0,kernel_transpose_32_16,0.073216,4096x32x0,16x1x0,4096x125x1x1
Qcur-0,kernel_mul_mat_Ab_Bi_8x4,2.254080,16x1024x4,1x32x4,4096x125x1x1
Qcur-0,kernel_rope_norm_f32,0.065024,2048x125x1,64x1x1,128x32x125x1
Vcur-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-0,kernel_mul_mat_Ab_Bi_8x4,0.621056,16x256x4,1x32x4,1024x125x1x1
Kcur-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-0,kernel_mul_mat_Ab_Bi_8x4,0.669952,16x256x4,1x32x4,1024x125x1x1
Kcur-0,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l0 (view),kernel_set_rows_f16_i64,0.018176,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l0 (reshaped) (view),kernel_set_rows_f16_i64,0.291072,2000x64x1,1x64x1,1x4194304x1x1
node_23,mul_mm_f16_f32_kq,0.264960,64x4x128,64x1x2,256x125x32x1
kq_soft_max-0,kernel_soft_max_4,0.119040,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-0,mul_mm_f16_f32_kqv,0.334080,64x2x128,64x1x2,128x125x32x1
kqv_out-0,kernel_cpy_f32_f32,0.052992,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-0 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.032000,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-0,kernel_sum_rows_f32,0.009984,109x32x1,64x1x1,1x109x32x1
snapkv_importance-0 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-0,kernel_sum_rows_f32,0.002048,109x8x1,64x1x1,1x109x8x1
node_40,kernel_argsort_f32_i32,0.014848,128x8x1,128x1x1,109x8x1x1
node_42,kernel_get_rows_f16,0.005888,3072x8x1,64x1x1,128x48x8x1
cache_k_l0 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.003072,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-0,kernel_concat_f32_contiguous,0.004864,128x64x8,0x0x0,128x64x8x1
cache_k_l0 (view) (permuted) (view),kernel_set_rows_f16_i64,0.009216,8192x8x1,128x1x1,128x256x8x1
node_52,kernel_get_rows_f32,0.007168,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-0,kernel_concat_f32_non_contiguous,0.116992,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-0 (permuted) (cont),kernel_cpy_f32_f32,0.007936,512x64x1,64x1x1,128x8x64x1
cache_v_l0 (view) (view) (view),kernel_set_rows_f16_i64,0.125952,1024x64x1,1x64x1,1x4194304x1x1
attn_out-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-0,kernel_mul_mat_Ab_Bi_8x4,2.279936,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-0,kernel_add,0.097024,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-0,kernel_rms_norm_mul,0.057088,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-0,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-0,kernel_mul_mat_Ab_Bi_8x4,7.898880,16x3584x4,1x32x4,14336x125x1x1
ffn_up-0,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,14336x125x1x1
ffn_up-0,kernel_mul_mat_Ab_Bi_8x4,8.224768,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-0,kernel_swiglu,0.343040,64000x1x1,512x1x1,14336x125x1x1
ffn_out-0,kernel_transpose_32_16,0.249088,14336x32x0,16x1x0,4096x125x1x1
ffn_out-0,kernel_mul_mat_Ab_Bi_8x4,7.901952,16x1024x4,1x32x4,4096x125x1x1
l_out-0,kernel_add,0.091904,8000x1x1,64x1x1,4096x125x1x1
attn_norm-1,kernel_rms_norm_mul,0.054784,128000x1x1,1024x1x1,4096x125x1x1
Qcur-1,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,4096x125x1x1
Qcur-1,kernel_mul_mat_Ab_Bi_8x4,2.228992,16x1024x4,1x32x4,4096x125x1x1
Qcur-1,kernel_rope_norm_f32,0.059136,2048x125x1,64x1x1,128x32x125x1
Vcur-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-1,kernel_mul_mat_Ab_Bi_8x4,0.666112,16x256x4,1x32x4,1024x125x1x1
Kcur-1,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,1024x125x1x1
Kcur-1,kernel_mul_mat_Ab_Bi_8x4,0.615936,16x256x4,1x32x4,1024x125x1x1
Kcur-1,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l1 (view),kernel_set_rows_f16_i64,0.017920,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l1 (reshaped) (view),kernel_set_rows_f16_i64,0.259072,2000x64x1,1x64x1,1x4194304x1x1
node_93,mul_mm_f16_f32_kq,0.264960,64x4x128,64x1x2,256x125x32x1
kq_soft_max-1,kernel_soft_max_4,0.108032,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-1,mul_mm_f16_f32_kqv,0.323840,64x2x128,64x1x2,128x125x32x1
kqv_out-1,kernel_cpy_f32_f32,0.043008,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-1 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.033024,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-1,kernel_sum_rows_f32,0.009984,109x32x1,64x1x1,1x109x32x1
snapkv_importance-1 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-1,kernel_sum_rows_f32,0.002048,109x8x1,64x1x1,1x109x8x1
node_110,kernel_argsort_f32_i32,0.015104,128x8x1,128x1x1,109x8x1x1
node_112,kernel_get_rows_f16,0.006144,3072x8x1,64x1x1,128x48x8x1
cache_k_l1 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.003072,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-1,kernel_concat_f32_contiguous,0.005888,128x64x8,0x0x0,128x64x8x1
cache_k_l1 (view) (permuted) (view),kernel_set_rows_f16_i64,0.008960,8192x8x1,128x1x1,128x256x8x1
node_122,kernel_get_rows_f32,0.006912,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-1,kernel_concat_f32_non_contiguous,0.115968,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-1 (permuted) (cont),kernel_cpy_f32_f32,0.007168,512x64x1,64x1x1,128x8x64x1
cache_v_l1 (view) (view) (view),kernel_set_rows_f16_i64,0.122880,1024x64x1,1x64x1,1x4194304x1x1
attn_out-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-1,kernel_mul_mat_Ab_Bi_8x4,2.230016,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-1,kernel_add,0.086016,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-1,kernel_rms_norm_mul,0.054016,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-1,kernel_mul_mat_Ab_Bi_8x4,7.805952,16x3584x4,1x32x4,14336x125x1x1
ffn_up-1,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-1,kernel_mul_mat_Ab_Bi_8x4,7.832064,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-1,kernel_swiglu,0.377856,64000x1x1,512x1x1,14336x125x1x1
ffn_out-1,kernel_transpose_32_16,0.248064,14336x32x0,16x1x0,4096x125x1x1
ffn_out-1,kernel_mul_mat_Ab_Bi_8x4,7.960064,16x1024x4,1x32x4,4096x125x1x1
l_out-1,kernel_add,0.086016,8000x1x1,64x1x1,4096x125x1x1
attn_norm-2,kernel_rms_norm_mul,0.054784,128000x1x1,1024x1x1,4096x125x1x1
Qcur-2,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,4096x125x1x1
Qcur-2,kernel_mul_mat_Ab_Bi_8x4,2.219776,16x1024x4,1x32x4,4096x125x1x1
Qcur-2,kernel_rope_norm_f32,0.058112,2048x125x1,64x1x1,128x32x125x1
Vcur-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-2,kernel_mul_mat_Ab_Bi_8x4,0.608000,16x256x4,1x32x4,1024x125x1x1
Kcur-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-2,kernel_mul_mat_Ab_Bi_8x4,0.608000,16x256x4,1x32x4,1024x125x1x1
Kcur-2,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l2 (view),kernel_set_rows_f16_i64,0.016128,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l2 (reshaped) (view),kernel_set_rows_f16_i64,0.243968,2000x64x1,1x64x1,1x4194304x1x1
node_163,mul_mm_f16_f32_kq,0.262912,64x4x128,64x1x2,256x125x32x1
kq_soft_max-2,kernel_soft_max_4,0.105984,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-2,mul_mm_f16_f32_kqv,0.338176,64x2x128,64x1x2,128x125x32x1
kqv_out-2,kernel_cpy_f32_f32,0.043008,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-2 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.032000,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-2,kernel_sum_rows_f32,0.008960,109x32x1,64x1x1,1x109x32x1
snapkv_importance-2 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-2,kernel_sum_rows_f32,0.002048,109x8x1,64x1x1,1x109x8x1
node_180,kernel_argsort_f32_i32,0.015104,128x8x1,128x1x1,109x8x1x1
node_182,kernel_get_rows_f16,0.005888,3072x8x1,64x1x1,128x48x8x1
cache_k_l2 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.003072,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-2,kernel_concat_f32_contiguous,0.004864,128x64x8,0x0x0,128x64x8x1
cache_k_l2 (view) (permuted) (view),kernel_set_rows_f16_i64,0.007936,8192x8x1,128x1x1,128x256x8x1
node_192,kernel_get_rows_f32,0.007168,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-2,kernel_concat_f32_non_contiguous,0.116992,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-2 (permuted) (cont),kernel_cpy_f32_f32,0.007168,512x64x1,64x1x1,128x8x64x1
cache_v_l2 (view) (view) (view),kernel_set_rows_f16_i64,0.122880,1024x64x1,1x64x1,1x4194304x1x1
attn_out-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
attn_out-2,kernel_mul_mat_Ab_Bi_8x4,2.227968,16x1024x4,1x32x4,4096x125x1x1
ffn_inp-2,kernel_add,0.084992,8000x1x1,64x1x1,4096x125x1x1
ffn_norm-2,kernel_rms_norm_mul,0.056064,128000x1x1,1024x1x1,4096x125x1x1
ffn_gate-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-2,kernel_mul_mat_Ab_Bi_8x4,7.801088,16x3584x4,1x32x4,14336x125x1x1
ffn_up-2,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-2,kernel_mul_mat_Ab_Bi_8x4,7.730944,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-2,kernel_swiglu,0.325120,64000x1x1,512x1x1,14336x125x1x1
ffn_out-2,kernel_transpose_32_16,0.248832,14336x32x0,16x1x0,4096x125x1x1
ffn_out-2,kernel_mul_mat_Ab_Bi_8x4,10.119168,16x1024x4,1x32x4,4096x125x1x1
l_out-2,kernel_add,0.086016,8000x1x1,64x1x1,4096x125x1x1
attn_norm-3,kernel_rms_norm_mul,0.055040,128000x1x1,1024x1x1,4096x125x1x1
Qcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-3,kernel_mul_mat_Ab_Bi_8x4,2.233088,16x1024x4,1x32x4,4096x125x1x1
Qcur-3,kernel_rope_norm_f32,0.059904,2048x125x1,64x1x1,128x32x125x1
Vcur-3,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-3,kernel_mul_mat_Ab_Bi_8x4,0.615168,16x256x4,1x32x4,1024x125x1x1
Kcur-3,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,1024x125x1x1
Kcur-3,kernel_mul_mat_Ab_Bi_8x4,0.605952,16x256x4,1x32x4,1024x125x1x1
Kcur-3,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l3 (view),kernel_set_rows_f16_i64,0.017152,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l3 (reshaped) (view),kernel_set_rows_f16_i64,0.243968,2000x64x1,1x64x1,1x4194304x1x1
node_233,mul_mm_f16_f32_kq,0.265984,64x4x128,64x1x2,256x125x32x1
kq_soft_max-3,kernel_soft_max_4,0.104960,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-3,mul_mm_f16_f32_kqv,0.313856,64x2x128,64x1x2,128x125x32x1
kqv_out-3,kernel_cpy_f32_f32,0.041984,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-3 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.033024,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-3,kernel_sum_rows_f32,0.008960,109x32x1,64x1x1,1x109x32x1
